[2016-05-12 13:29:14] [INFO ]  
[2016-05-12 13:29:14] [INFO ] FINCH               + [!] Java Finch Syntactic Engine
[2016-05-12 13:29:14] [INFO ] FINCH               |  + Java-type analysis activated
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.WeakPasswordRequirementsChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadArrayDeclarationChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCallForbiddenChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_CALL.FORBIDDEN.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCommentModChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCommentPositionBlockChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCommentPositionEndOfLineChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCommentPositionSingleChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCommentPositionTrailingChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCompoundStatementCurlyBraceChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_COMPOUND_STATEMENT.CURLY_BRACE.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadCurlybraceDeclarationChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadEmptyForStatementChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationBlockChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.BLOCK.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationCaseLabelsChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.CASE_LABELS.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationClassChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.CLASS.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationDoStatementChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.DO_STATEMENT.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationFieldChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.FIELD.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationForStatementChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationIfStatementChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.IF_STATEMENT.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationImproperLengthChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.IMPROPER_LENGTH.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationMethodChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.METHOD.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationPackageChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.PACKAGE.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationSourceCodeChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationSwitchStatementChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.SWITCH_STATEMENT.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.cc.BadIndentationTryStatementChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\BAD_INDENTATION.TRY_STATEMENT.xml
